gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype	q_val	zscore
Pld5	6.37552844862752e-66	0.088773143910874	0.212	0.129	1.1027751557591e-61	Astrocytes	1.00019290302069e-61	6.93979611470089
Zbtb16	7.46836762215417e-27	0.144795524731526	0.285	0.2	1.29180354760401e-22	Astrocytes	5.85818756281773e-23	11.2249136416131
Rabep1	1.95992328301659e-21	-0.150799779065702	0.509	0.593	3.39007930263379e-17	Astrocytes	1.02490921546548e-17	-11.3849897330666
Lix1	1.05248304388695e-18	-0.156279881321521	0.625	0.69	1.82047992101126e-14	Astrocytes	3.62125949594032e-15	-11.8041593913654
Mtss2	1.15414950788511e-18	-0.0751781632822868	0.299	0.353	1.99633240378887e-14	Astrocytes	3.62125949594032e-15	-5.6007387522964
Grm3	4.46872546355919e-17	-0.110658738591353	0.831	0.863	7.72955443431832e-13	Astrocytes	1.16842275120528e-13	-8.31462618254575
Sfxn5	1.73270912173316e-16	-0.124827833317026	0.684	0.74	2.99706696786185e-12	Astrocytes	3.88324867167854e-13	-9.39841154225468
Etv4	2.41901102707552e-16	-0.063254531420013	0.073	0.111	4.18416337353252e-12	Astrocytes	4.74368062409509e-13	-4.68870746892325
Micu1	8.16598367322318e-16	0.139275910092497	0.35	0.267	1.41247019595741e-11	Astrocytes	1.3039294925746e-12	10.8027217053721
LOC108348175	8.31163623517719e-16	-0.103236859131676	0.925	0.946	1.4376637195986e-11	Astrocytes	1.3039294925746e-12	-7.74693117763143
Col11a2	1.24184881982351e-15	-0.0760503713375973	0.428	0.47	2.14802590364872e-11	Astrocytes	1.77110220776284e-12	-5.66745341115552
Gpr37l1	2.77432862096035e-15	-0.123654473010558	0.438	0.501	4.79875621567512e-11	Astrocytes	3.62697228380216e-12	-9.30866193252771
Slc15a2	3.59025738713268e-15	-0.0914946756656552	0.34	0.382	6.21006820252339e-11	Astrocytes	4.33261214533365e-12	-6.84877877072914
AABR07053749.2	3.38287764881822e-14	-0.0757268491332861	0.161	0.207	5.85136346916088e-10	Astrocytes	3.79075603961859e-11	-5.64270739629982
Cpe	1.52072210725988e-13	-0.0584721826864434	0.922	0.929	2.63039302892741e-09	Astrocytes	1.5904725612462e-10	-4.32290854931591
Scara3	6.61181168060042e-13	-0.0703847934306643	0.081	0.125	1.14364506639345e-08	Astrocytes	6.48288135282871e-10	-5.23409683413307
Rgs20	7.47134672621766e-13	-0.112840854671463	0.59	0.637	1.29231884323387e-08	Astrocytes	6.89473455534721e-10	-8.48153490230493
Atp1b2	1.50743721980457e-12	-0.132263479962686	0.6	0.658	2.60741415909596e-08	Astrocytes	1.31381528357189e-09	-9.96715959077564
Ca3	4.47514816823026e-12	0.0145013783833376	0.015	0.005	7.74066378658789e-08	Astrocytes	3.69505918227349e-09	1.2587943515727
Plpp3	5.87486733941137e-12	-0.125902456420712	0.894	0.926	1.01617580369799e-07	Astrocytes	4.60824594103428e-09	-9.48060880393786
Gpm6a	8.27754179135385e-12	-0.104184912039984	0.973	0.979	1.43176640365048e-07	Astrocytes	6.18371788679806e-09	-7.81944716274881
Vgll4	8.93573731398849e-12	-0.097719691839954	0.416	0.479	1.54561448320059e-07	Astrocytes	6.37199304462961e-09	-7.3249264374839
Grin2c	6.41238368532228e-11	-0.0845934930649855	0.385	0.435	1.10915000605019e-06	Astrocytes	4.37380327197113e-08	-6.32091154899818
Pou2f1	1.37064881716503e-10	-0.0945689962712152	0.445	0.495	2.37081125905035e-06	Astrocytes	8.95947443486875e-08	-7.08393166707617
Sema3d	1.43089014705846e-10	-0.0242117027278047	0.013	0.028	2.47501068736702e-06	Astrocytes	8.97912185082125e-08	-1.70234546362376
Fut9	3.08412683881862e-10	-0.0757842525656738	0.739	0.777	5.33461419310457e-06	Astrocytes	1.85894307807976e-07	-5.64709814961352
Ctnnd2	3.19935384422192e-10	-0.070199773952885	0.949	0.962	5.53392234435065e-06	Astrocytes	1.85894307807976e-07	-5.2199448078279
Nxpe1	3.81400644090303e-10	0.0205749734318785	0.038	0.025	6.59708694082998e-06	Astrocytes	2.13693332303167e-07	1.72335990934842
Rnf212	4.86618283152095e-10	0.0175331013928414	0.017	0.005	8.41703644368178e-06	Astrocytes	2.63243711244485e-07	1.49068898394039
Wwc1	7.37692120171676e-10	-0.081230833404545	0.389	0.441	1.27598606026095e-05	Astrocytes	3.85763799375108e-07	-6.06370377530281
Acss2	9.09709751276164e-10	-0.0645524030732287	0.149	0.191	1.57352495678238e-05	Astrocytes	4.60371825097434e-07	-4.78798087514784
