gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype	q_val	zscore
AABR07033249.1	1.01326670039178e-09	0.0346321381082232	0.201	0.185	1.75264741166766e-05	Astrocytes	4.9675399986707e-07	2.79858380827795
Tac1	1.18070489970146e-09	0.0511126006457535	0.078	0.059	2.04226526501362e-05	Astrocytes	5.61299953530803e-07	4.05916427338303
Rorb	1.72914472052516e-09	-0.106198243195046	0.82	0.851	2.99090162309237e-05	Astrocytes	7.97847716929374e-07	-7.97344562717777
Msi2	1.83098955351119e-09	-0.0542549726477719	0.88	0.896	3.16706263070831e-05	Astrocytes	8.20701831870959e-07	-4.00033674164436
Msmo1	2.2538640013e-09	-0.107021985341582	0.282	0.343	3.8985085630486e-05	Astrocytes	9.82183845899844e-07	-8.03645315841922
Sox9	2.47261791086648e-09	-0.0815938212139551	0.253	0.303	4.27688720042575e-05	Astrocytes	1.04838999420739e-06	-6.09146849007168
Slc1a4	3.63988023356315e-09	-0.0783355541811714	0.209	0.257	6.29590083999418e-05	Astrocytes	1.50269581852997e-06	-5.84224564439793
Vegfa	3.97342968957724e-09	-0.067038486237285	0.338	0.371	6.87284133406174e-05	Astrocytes	1.59833756333558e-06	-4.97813985060737
Ptch1	4.18919358771933e-09	-0.0645637148384269	0.323	0.367	7.24604814867813e-05	Astrocytes	1.64300172510352e-06	-4.78884610512559
AABR07054400.1	4.51458951218159e-09	0.0408552359915889	0.11	0.085	7.80888547922049e-05	Astrocytes	1.70387394252665e-06	3.27458474613653
Clu	4.56162070283779e-09	-0.152974575355765	0.761	0.822	7.89023532969852e-05	Astrocytes	1.70387394252665e-06	-11.5513385665774
Mlc1	4.84045586303022e-09	-0.0976419139622134	0.416	0.46	8.37253650628337e-05	Astrocytes	1.76597840881903e-06	-7.31897725534937
Prex2	7.83180697421207e-09	-0.0488403951930962	0.889	0.902	0.000135466765232946	Astrocytes	2.7923951775327e-06	-3.58617903517107
Dazap2	8.26350842686089e-09	-0.0481335477718988	0.08	0.11	0.000142933905259413	Astrocytes	2.8808426711243e-06	-3.53211270973013
Lifr	8.95017597139166e-09	0.0749176581617951	0.173	0.127	0.000154811193777162	Astrocytes	3.05239914433027e-06	5.87999851314351
Sel1l3	1.39776286881252e-08	-0.0706228547428647	0.187	0.232	0.000241771043418501	Astrocytes	4.66555401828315e-06	-5.25230599780028
Cabp4	2.40059891897719e-08	0.0452035841990018	0.112	0.082	0.000415231595015484	Astrocytes	7.84595746685711e-06	3.60718723185298
Crot	2.47326385068177e-08	-0.0471663972619516	0.063	0.094	0.000427800448252426	Astrocytes	7.9184823039787e-06	-3.45813596078394
Dab1	2.6582317371529e-08	-0.0952652012417883	0.414	0.47	0.000459794343575338	Astrocytes	8.34046789849094e-06	-7.13718395800035
Uchl1	3.23213138430694e-08	-0.052922935629907	0.491	0.513	0.000559061765543571	Astrocytes	9.94228963862888e-06	-3.89845004764573
Fchsd2	3.76055017408326e-08	-0.0480182642439073	0.562	0.595	0.000650462363611181	Astrocytes	1.11393340515463e-05	-3.52329474342587
Pla2g7	3.7632885309278e-08	-0.0618868620257309	0.118	0.157	0.000650936017194581	Astrocytes	1.11393340515463e-05	-4.58409527632077
Pnp	6.04465362700855e-08	-0.0961929975458515	0.255	0.31	0.00104554373786367	Astrocytes	1.75608381667611e-05	-7.20815052789093
Prodh1	6.91609838642142e-08	-0.0520081478607294	0.331	0.367	0.00119627753789931	Astrocytes	1.97272275429417e-05	-3.82847849260494
Hlcs	7.90464263979124e-08	-0.0645290408258795	0.532	0.57	0.00136726603740469	Astrocytes	2.21442917380437e-05	-4.78619391118598
Jazf1	1.24944855347394e-07	-0.0891714529457887	0.242	0.285	0.00216117116294387	Astrocytes	3.43883314156126e-05	-6.67107689069496
Scg3	1.34684094457618e-07	-0.117449660067703	0.499	0.562	0.00232963078183341	Astrocytes	3.64297254112261e-05	-8.83405959854696
Atp1a2	1.72863817434147e-07	-0.0640404387682825	0.793	0.814	0.00299002545015844	Astrocytes	4.59641960662186e-05	-4.74882103966527
Nfib	1.78885233335583e-07	-0.0516817694465577	0.527	0.56	0.00309417788100557	Astrocytes	4.67725256761438e-05	-3.80351400800993
Pld2	1.96326776601297e-07	-0.0642598864322041	0.332	0.373	0.00339586425487263	Astrocytes	5.04913847757565e-05	-4.7656064567992
Nek5	2.06787269606825e-07	-0.0112594684372296	0.016	0.023	0.00357679940238925	Astrocytes	5.23238497676108e-05	-0.711637011783795
Colgalt2	2.72560062948678e-07	-0.057185619341994	0.094	0.133	0.00471447140882329	Astrocytes	6.78717820244264e-05	-4.22450010868872
Gabrg1	3.29639979311345e-07	-0.0854593066625454	0.463	0.52	0.00570178272214833	Astrocytes	8.08029999286935e-05	-6.38713709970836
Phlpp1	3.53086168746384e-07	-0.0661009530926211	0.659	0.688	0.0061073314608062	Astrocytes	8.52187048506657e-05	-4.90642851575494
Cox8a	3.60119975963579e-07	0.0194724391565004	0.623	0.609	0.00622899522424202	Astrocytes	8.55994270138883e-05	1.63902773927216
Capn13	4.02030379228214e-07	-0.0222645402411826	0.399	0.411	0.00695391946951041	Astrocytes	9.41351132736152e-05	-1.55340820003473
Plce1	4.41446653389e-07	0.0474274878293817	0.146	0.12	0.00763570276366952	Astrocytes	0.000101844339681862	3.77729225568645
Prkca	6.89641677977728e-07	-0.0804495752176595	0.471	0.517	0.0119287321039808	Astrocytes	0.000156798531074125	-6.00394581606176
Ccdc136	7.65539294527452e-07	-0.0314994754150829	0.174	0.196	0.0132415331774413	Astrocytes	0.000171568292179238	-2.25978272382131
Retsat	8.73924404360642e-07	-0.0462634971385914	0.104	0.136	0.015116270422226	Astrocytes	0.000193100366980419	-3.38907368447605
Gabarapl2	8.8907866815128e-07	0.0311445818460693	0.316	0.304	0.0153783937230127	Astrocytes	0.000193720363138296	2.53182277016907
Mfge8	9.79044188780364e-07	-0.117417881391751	0.59	0.637	0.016934527333334	Astrocytes	0.000210400619638169	-8.8316288671266
Gpt2	1.0046084682103e-06	0.0606727845862563	0.294	0.26	0.0173767126746336	Astrocytes	0.000212976995260584	4.79041687571535
Heyl	1.13808470262985e-06	-0.0790393281265753	0.252	0.297	0.0196854511013885	Astrocytes	0.000238056970864761	-5.89607688156168
Nrarp	1.2379084919423e-06	-0.063613697760269	0.129	0.163	0.021412103185126	Astrocytes	0.0002555303739683	-4.71617988186184
Tsga10ip	1.2662750485898e-06	0.0120958959817445	0.017	0.009	0.0219027595154578	Astrocytes	0.000257991207302296	1.07480047896767
Fkbp5	1.32260728686681e-06	0.0527367495359288	0.104	0.074	0.0228771382409352	Astrocytes	0.000266013629697007	4.18339442521977
Per3	1.35663276987659e-06	-0.0747884766736031	0.54	0.583	0.0234656770205555	Astrocytes	0.000269403226504101	-5.57093186275668
Nfia	1.37815076259602e-06	-0.0330641317334117	0.887	0.9	0.0238378737406234	Astrocytes	0.00027025536454508	-2.3794623253493
Kcnip1	1.39787623155771e-06	0.103867276013444	0.29	0.245	0.0241790651772536	Astrocytes	0.000270739287909597	8.09433701565467
Hint1	1.42327316924235e-06	0.0359074935598189	0.401	0.38	0.024618356008385	Astrocytes	0.000272296457061878	2.89613496405927
Tnfrsf19	1.54142237335779e-06	-0.0920099726372537	0.408	0.459	0.0266619827919696	Astrocytes	0.000291347399918518	-6.88819351983862
Macf1	1.69428260279206e-06	-0.0643757053043292	0.881	0.903	0.0293060061804943	Astrocytes	0.000316427446102403	-4.77446537124768
Mphosph6	1.76737720115209e-06	0.0244343869473143	0.067	0.051	0.0305703234483278	Astrocytes	0.000326195453313812	2.01856408054457
Slc4a4	2.00059810316663e-06	0.121852554683562	0.844	0.828	0.0346043453904732	Astrocytes	0.000360818481572346	9.47001994320553
Sycp3	2.00096939678698e-06	0.0127740876141384	0.047	0.038	0.0346107676562243	Astrocytes	0.000360818481572346	1.12667494070966
Azin1	2.06427085071543e-06	0.0393859302417817	0.138	0.11	0.0357056929048248	Astrocytes	0.000368003194386633	3.1621984510762
Pde10a	2.61004168289097e-06	0.106680791006462	0.098	0.077	0.0451458909889651	Astrocytes	0.00046007116765386	8.30954105076
Caln1	2.82606921363164e-06	-0.072663592398055	0.294	0.344	0.0488825191881865	Astrocytes	0.000492615264705035	-5.40840076860413
S100b	3.14496162876255e-06	-0.102245562502789	0.761	0.798	0.0543984012927059	Astrocytes	0.000542177560791504	-7.6711075068665
Rev3l	3.61178102365827e-06	-0.0627933490810647	0.415	0.452	0.0624729763662171	Astrocytes	0.00061588718151251	-4.65343191485395
Fgf2	4.29048052849019e-06	0.0464513094554561	0.128	0.1	0.0742124417012949	Astrocytes	0.000723753317537141	3.70262497096514
P22k15	5.06486299787098e-06	-0.0447903715134204	0.039	0.066	0.0876069352741744	Astrocytes	0.000845293305431914	-3.27639520949348
Ppp1r1b	5.56668383485092e-06	0.028763234316061	0.179	0.165	0.0962869302914164	Astrocytes	0.000919264589485697	2.3496749590795
AABR07072400.1	5.67111836524016e-06	0.038475388933184	0.192	0.174	0.0980933343635591	Astrocytes	0.000926755259519663	3.09255170519904
Vbp1	5.93454784310777e-06	-0.0476688533816307	0.146	0.177	0.102649874042235	Astrocytes	0.000959806047037883	-3.49656852101079
Wwtr1	6.05608173511369e-06	-0.0563656676689661	0.208	0.234	0.104752045772261	Astrocytes	0.000969467451637383	-4.16178250843961
Pdilt	6.46869078143676e-06	-0.00496984168343827	0.004	0.007	0.111888944446512	Astrocytes	0.00102409176760037	-0.230547321456462
Slc27a1	6.56190320736367e-06	-0.0405891525046724	0.283	0.307	0.113501239777769	Astrocytes	0.00102409176760037	-2.95504654588676
Zbtb20	6.59314562261839e-06	-0.0517979877620132	0.964	0.973	0.11404163983443	Astrocytes	0.00102409176760037	-3.81240347563361
Acap2	7.3512622134191e-06	0.0802930181356686	0.377	0.331	0.12715478250551	Astrocytes	0.00113065295690313	6.2911564985788
S1pr1	7.98267093897264e-06	-0.0625229313121011	0.202	0.24	0.13807625923141	Astrocytes	0.0012158460358311	-4.63274782566674
AABR07001519.1	8.33382005697374e-06	-0.0664786794177825	0.622	0.65	0.144150085525475	Astrocytes	0.00125712470244042	-4.93532057054831
Ppp2r2b	9.09998414195782e-06	-0.0484968415488509	0.632	0.664	0.157402425703444	Astrocytes	0.00135385757697992	-3.55990082776851
Pcp4	9.14768633094542e-06	0.0274816037083178	0.335	0.322	0.158227530466363	Astrocytes	0.00135385757697992	2.25164382045565
Arhgef12	9.51427400391835e-06	-0.0507574649371756	0.617	0.652	0.164568397445776	Astrocytes	0.00138839155130164	-3.73281452335152
Sox2	9.55802444802252e-06	-0.102083883153065	0.399	0.452	0.165325148877446	Astrocytes	0.00138839155130164	-7.65874075263197
Spag9	1.00739400938431e-05	-0.0427599479488263	0.628	0.652	0.174248941803203	Astrocytes	0.0014499080017634	-3.12108935714936
Kcnq3	1.02045499085741e-05	0.0506376529983287	0.216	0.209	0.176508099768606	Astrocytes	0.00145535435423373	4.02283581931641
Cachd1	1.12393681936861e-05	-0.028172141402683	0.116	0.137	0.194407351646188	Astrocytes	0.0015884973713743	-2.0052769872645
Fdft1	1.21035179724822e-05	-0.0581762233237715	0.182	0.22	0.209354550370025	Astrocytes	0.00169535705314554	-4.30027079930133
Gabrb1	1.27957146291223e-05	-0.039143582796902	0.956	0.964	0.221327475939929	Astrocytes	0.0017764528416077	-2.84447580611455
Nim1k	1.42143758346246e-05	-0.0486530758512429	0.405	0.431	0.245866058811502	Astrocytes	0.00195609761485606	-3.57185109367435
Glis3	1.43416076062786e-05	-0.0525967987543374	0.636	0.655	0.2480667867658	Astrocytes	0.00195644469675912	-3.87350403819015
Gdi1	1.65445529929897e-05	-0.0220925264078622	0.211	0.228	0.286171133119743	Astrocytes	0.00223750816684502	-1.5402509674924
Zfp36l2	1.67927722611489e-05	-0.0829087876658147	0.328	0.384	0.290464581801092	Astrocytes	0.00224491403315431	-6.19204946695312
Zfp608	1.69280941908366e-05	-0.02916871794819	0.275	0.296	0.292805245218901	Astrocytes	0.00224491403315431	-2.08150451561131
Gpr108	1.70428272302797e-05	-0.020449007318193	0.039	0.052	0.294789782602148	Astrocytes	0.00224491403315431	-1.41453920098425
Iqsec2	1.71717034662492e-05	-0.0472707407267689	0.118	0.144	0.297018954855713	Astrocytes	0.00224491403315431	-3.46611712837014
Mt-nd2	1.74038872221271e-05	-0.0854623498189868	0.29	0.307	0.301035037281132	Astrocytes	0.00225646432017132	-6.38736986887691
RGD1565616	1.77583284742944e-05	-0.0133562972226158	0.642	0.657	0.307165807619871	Astrocytes	0.00228354636971091	-0.872022158712079
Sesn3	2.00184905475642e-05	-0.044575412951669	0.224	0.254	0.346259831001218	Astrocytes	0.00255325268057063	-3.2599531610295
Negr1	2.02517509498046e-05	-0.0398794170929229	0.868	0.882	0.35029453617877	Astrocytes	0.00256217313629463	-2.90075931982091
Kcnj6	2.0617202649618e-05	-0.0137949412567924	0.034	0.042	0.356615754230443	Astrocytes	0.00258754140133766	-0.9055737716816
Cap2	2.2806627980615e-05	-0.0388482658835632	0.277	0.3	0.394486244180697	Astrocytes	0.00283960618857054	-2.82188719665518
Luzp2	2.35515774981272e-05	-0.0883839177319659	0.772	0.804	0.407371635985106	Astrocytes	0.0029092688802411	-6.61083880551582
Adam11	2.38685796580056e-05	-0.0192634593981194	0.384	0.392	0.412854822344523	Astrocytes	0.00292539279433431	-1.32385736817237
Mt-co3	2.41844386534595e-05	-0.0637272357744489	0.577	0.589	0.418318235388888	Astrocytes	0.00294112770229049	-4.7248643348859
Camk1d	2.64510237749632e-05	-0.0483042341705793	0.523	0.557	0.457523358235539	Astrocytes	0.0031920281613971	-3.54516840761153
Lama2	2.78102765757187e-05	0.0685124680037235	0.087	0.063	0.481034353930207	Astrocytes	0.00333043983908302	5.39006944894636
Ugp2	3.11430870121497e-05	-0.0550325326125417	0.274	0.304	0.538681976049153	Astrocytes	0.00370130870489852	-4.05981182614545
Ctsb	3.29633339730535e-05	-0.049280858621193	0.211	0.237	0.570166787731906	Astrocytes	0.00386150265296425	-3.61986981246494
Calm1	3.29832582545391e-05	-0.0319664536637012	0.624	0.64	0.570511418028762	Astrocytes	0.00386150265296425	-2.2955016034642
Maml2	3.6919678374861e-05	-0.0337696723733234	0.699	0.725	0.638599676849971	Astrocytes	0.00429034010625792	-2.4334286958917
Glul	3.98827925675058e-05	0.00511958615349484	0.47	0.46	0.689852663040148	Astrocytes	0.00460059742499288	0.541186821706202
Dpf3	4.14278322872745e-05	-0.0298389926290903	0.273	0.29	0.716577215072987	Astrocytes	0.00472110545747763	-2.13277341459235
Arid1b	4.15293570328858e-05	-0.0230993016064601	0.382	0.394	0.718333288597826	Astrocytes	0.00472110545747763	-1.61725858455501
AABR07048271.1	4.20297371226002e-05	0.0305174351628946	0.247	0.231	0.726988363009616	Astrocytes	0.00474361522287304	2.48385270526554
Flrt3	4.38742589056e-05	0.0213966065971348	0.05	0.037	0.758893056290163	Astrocytes	0.00488346662354932	1.78620612590611
Wsb1	4.38914325548479e-05	-0.0461076155042655	0.269	0.299	0.759190108901205	Astrocytes	0.00488346662354932	-3.37715039393415
Pfkfb3	4.61696906546665e-05	-0.0558188992015201	0.144	0.176	0.798597139253766	Astrocytes	0.0051007754013409	-4.11996052392745
Jarid2	4.79435545904883e-05	-0.0653761465173043	0.209	0.244	0.829279663751676	Astrocytes	0.00525970968122783	-4.8509885056373
Cebpd	4.8301715201927e-05	0.0154223780581582	0.1	0.091	0.835474767847732	Astrocytes	0.00526220352838771	1.32924105146374
Veph1	4.94342144744907e-05	-0.0214194372621369	0.022	0.036	0.855063607765265	Astrocytes	0.00534844108052283	-1.48876679182419
Sbds	5.12605461716225e-05	0.0174060330822524	0.119	0.109	0.886653667130554	Astrocytes	0.00550805101603023	1.48096960684781
Tlcd1	5.30667717919777e-05	-0.0495713968713655	0.161	0.198	0.917895951685838	Astrocytes	0.00566334364539147	-3.64209290491148
Slc25a4	5.35014699642597e-05	-0.0153392644960326	0.635	0.641	0.9254149259718	Astrocytes	0.00567115581621153	-1.02369810846892
Rrp8	5.49311806562167e-05	0.0187659289241033	0.106	0.094	0.95014463181058	Astrocytes	0.00578362659150824	1.58498720519561
Fam227b	5.57327506326416e-05	-0.0281332232368246	0.073	0.09	0.964009387692801	Astrocytes	0.00582890261283254	-2.00230016064285
Cnksr3	5.65473955360681e-05	0.0335070028152024	0.092	0.071	0.97810030058737	Astrocytes	0.00585729334110739	2.7125229002329
Gramd2b	5.67509298730446e-05	0.100208918742473	0.702	0.663	0.981620834014053	Astrocytes	0.00585729334110739	7.81451151320537
Hspb1	5.71842135139434e-05	0.0132604825526794	0.043	0.037	0.989115341150679	Astrocytes	0.00586343752684147	1.16387899104833
Gadd45g	6.34544310910085e-05	0.0122038630357729	0.038	0.03	1	Astrocytes	0.00646411113607624	1.08305881266875
RGD1563349	6.39198044018595e-05	-0.0162187696135305	0.032	0.042	1	Astrocytes	0.00646950897713788	-1.09097091513639
Fam49a	6.51552704533997e-05	0.0662445028776003	0.251	0.216	1	Astrocytes	0.00655228130046753	5.21659418834491
Ifi27	6.73059269430144e-05	-0.0335329931313469	0.09	0.11	1	Astrocytes	0.0067254482922421	-2.41532524592771
Nfyc	6.8291933540257e-05	-0.0382967029372144	0.337	0.365	1	Astrocytes	0.00678078388214906	-2.77969848539421
Akt3	6.88994764710329e-05	-0.0642931094984676	0.591	0.629	1	Astrocytes	0.00679808167847525	-4.76814766874803
Nfkbia	7.5078204485871e-05	0.0232710437165831	0.07	0.055	1	Astrocytes	0.00736141794983965	1.92958067079303
Asrgl1	7.72116948662212e-05	-0.0527577466175863	0.261	0.291	1	Astrocytes	0.00752358427988372	-3.88581484147313
Phyhipl	8.08797924414562e-05	-0.0410594664721204	0.327	0.36	1	Astrocytes	0.00783235915939238	-2.99102057261574
Cspg5	8.36877530470835e-05	-0.0861645858773723	0.323	0.388	1	Astrocytes	0.00805177269109442	-6.44108347400646
Cfap206	8.42630073087643e-05	-0.0399151316737298	0.092	0.116	1	Astrocytes	0.00805177269109442	-2.90349110618807
Gys1	8.46852686149018e-05	-0.0328710219501215	0.131	0.153	1	Astrocytes	0.00805177269109442	-2.36469147654078
Pabpn1	8.60802634202376e-05	-0.0159657492202308	0.263	0.272	1	Astrocytes	0.00806017765297317	-1.07161754053659
Zfp385d	8.63616777924878e-05	0.0399371477220276	0.038	0.03	1	Astrocytes	0.00806017765297317	3.20436073784698
Atxn7l3b	8.67710034651928e-05	0.0142332054962797	0.295	0.284	1	Astrocytes	0.00806017765297317	1.23828197202472
Tnrc6a	8.68287878220592e-05	-0.049273537595248	0.47	0.496	1	Astrocytes	0.00806017765297317	-3.61930983168347
RGD735065	8.74572349602776e-05	-0.0240054122271401	0.047	0.065	1	Astrocytes	0.00807075942386374	-1.68656642983255
Uqcrb.1	9.06257536733083e-05	0.0279881692777487	0.179	0.158	1	Astrocytes	0.00831425043056644	2.29039070997196
Shroom3	9.65556972623392e-05	-0.0426548219868725	0.126	0.153	1	Astrocytes	0.00879757311395324	-3.11304833683743
Prpf4b	9.70155627686072e-05	0.0309627536779626	0.623	0.622	1	Astrocytes	0.00879757311395324	2.51791484518218
Echdc2	9.95281769497387e-05	-0.0186096771964936	0.035	0.046	1	Astrocytes	0.00897355195395115	-1.27384996880927
Pitpnm2	0.000100646469191437	0.0866849785458177	0.422	0.369	1	Astrocytes	0.00902252462100151	6.78007362747672
Rgma	0.000103749601647885	-0.0466894327564147	0.472	0.497	1	Astrocytes	0.00920451996306584	-3.42165323847811
Sox5	0.000103881334542127	-0.0410494589097649	0.41	0.442	1	Astrocytes	0.00920451996306584	-2.99025510031301
AABR07051515.1	0.000104436802232644	-0.0127652500679464	0.014	0.022	1	Astrocytes	0.00920451996306584	-0.826813324588917
Ifnar2	0.000113140666653708	-0.0313839877112365	0.063	0.084	1	Astrocytes	0.00991592613666688	-2.25094914023122
Ndrg2	0.000114639081640566	-0.0768163844983852	0.587	0.614	1	Astrocytes	0.00999143284876222	-5.72604528770653
AABR07013154.2	0.000128384627701877	-0.00451460285145459	0	0.004	1	Astrocytes	0.0111276134772765	-0.195726382587238
Purb	0.000131432350686191	0.00917473029675722	0.101	0.095	1	Astrocytes	0.0113291797668405	0.851362308500998
Tmem120b	0.000132643667539006	-0.0114651862976007	0.013	0.021	1	Astrocytes	0.0113711139691362	-0.727372244670401
Faim2	0.000135795460690023	-0.0388657130225274	0.26	0.275	1	Astrocytes	0.0115780390614407	-2.82322171760689
Gpc6	0.000137004315824336	-0.0779170841079017	0.443	0.481	1	Astrocytes	0.0116179659819037	-5.81023712531701
Mastl	0.00013932892595968	0.0122766839566399	0.037	0.029	1	Astrocytes	0.0117515709164272	1.08862884021421
Cpt1a	0.000141315582643597	-0.0360638095710212	0.14	0.165	1	Astrocytes	0.0118052861198229	-2.60890584218556
Rnf213	0.000141470792358918	-0.0127566746693801	0.028	0.036	1	Astrocytes	0.0118052861198229	-0.826157397615475
Slc1a3	0.000146118158670501	-0.0496334747686591	0.941	0.954	1	Astrocytes	0.012101182473368	-3.64684120517702
Tctn1	0.000146559451169041	-0.0180642794440675	0.07	0.081	1	Astrocytes	0.012101182473368	-1.23213282944774
Ptprz1	0.000148393582282392	-0.0870008229905181	0.879	0.908	1	Astrocytes	0.0121884739206606	-6.50504673757548
MGC109340	0.000156485504848694	-0.055118160061407	0.158	0.192	1	Astrocytes	0.012786169792012	-4.06636141715787
Cplx2	0.000164725214629368	0.0157691709996021	0.102	0.097	1	Astrocytes	0.0133720428956913	1.355767030721
Ncam2	0.000165360550851868	0.0458977843323331	0.221	0.196	1	Astrocytes	0.0133720428956913	3.66028617400694
Ermard	0.000166286558045069	-0.0293402233251527	0.089	0.112	1	Astrocytes	0.0133779667826207	-2.09462285663889
Calm2	0.000173059546959565	-0.0142462044938847	0.267	0.268	1	Astrocytes	0.0138518274117431	-0.940090619737485
Wac	0.000176398522053783	-0.0382142555883012	0.267	0.293	1	Astrocytes	0.0140001862716368	-2.77339213827543
Mfhas1	0.00017698039322383	0.0574963440939972	0.213	0.18	1	Astrocytes	0.0140001862716368	4.54745289190772
Tanc1	0.000177590328152455	0.0181567426366279	0.035	0.026	1	Astrocytes	0.0140001862716368	1.53839091993647
Creb5	0.000179698266342647	-0.0338145735835166	0.056	0.078	1	Astrocytes	0.0140955320119172	-2.4368631619026
Rpl30	0.000188183519371205	0.00832801800648819	0.238	0.231	1	Astrocytes	0.0146876768751018	0.786597805062645
Slc2a10	0.000190619505080224	-0.00721180214216048	0.007	0.012	1	Astrocytes	0.0148041524539532	-0.402033501007997
Ppm1k	0.000197999648703877	-0.0307897237826492	0.055	0.075	1	Astrocytes	0.015301568910672	-2.20549425704528
Scarb2	0.000201463125069203	-0.0298346091432823	0.21	0.23	1	Astrocytes	0.0154929093435571	-2.13243812445313
Cxcl17	0.00021625011933792	-0.00847895731532384	0.008	0.014	1	Astrocytes	0.0165489359618209	-0.498957422524701
Scd2	0.000224285043718242	-0.0890590557338483	0.549	0.602	1	Astrocytes	0.0170805037177271	-6.66247969693407
Agbl4	0.000234191271375495	-0.0169660371224837	0.019	0.031	1	Astrocytes	0.0177487568373853	-1.14812894828315
